game_id,date,season,postseason,home_team_id,visitor_team_id,home_team_score,visitor_team_score,home_win,home_team_name,home_conference,home_division,visitor_team_name,visitor_conference,visitor_division
473409,2021-10-19,2021,False,14,10,114,121,0,Los Angeles Lakers,West,Pacific,Golden State Warriors,West,Pacific
473410,2021-10-19,2021,False,17,3,127,104,1,Milwaukee Bucks,East,Central,Brooklyn Nets,East,Atlantic
473411,2021-10-20,2021,False,4,12,123,122,1,Charlotte Hornets,East,Southeast,Indiana Pacers,East,Central
473412,2021-10-20,2021,False,9,5,88,94,0,Detroit Pistons,East,Central,Chicago Bulls,East,Central
473413,2021-10-20,2021,False,28,30,83,98,0,Toronto Raptors,East,Atlantic,Washington Wizards,East,Southeast
473414,2021-10-20,2021,False,20,2,138,134,1,New York Knicks,East,Atlantic,Boston Celtics,East,Atlantic
473415,2021-10-20,2021,False,15,6,132,121,1,Memphis Grizzlies,West,Southwest,Cleveland Cavaliers,East,Central
473416,2021-10-20,2021,False,18,11,124,106,1,Minnesota Timberwolves,West,Northwest,Houston Rockets,West,Southwest
473417,2021-10-20,2021,False,19,23,97,117,0,New Orleans Pelicans,West,Southwest,Philadelphia 76ers,East,Atlantic
473418,2021-10-20,2021,False,27,22,123,97,1,San Antonio Spurs,West,Southwest,Orlando Magic,East,Southeast
473419,2021-10-20,2021,False,29,21,107,86,1,Utah Jazz,West,Northwest,Oklahoma City Thunder,West,Northwest
473420,2021-10-20,2021,False,25,26,121,124,0,Portland Trail Blazers,West,Northwest,Sacramento Kings,West,Pacific
473421,2021-10-20,2021,False,24,8,98,110,0,Phoenix Suns,West,Pacific,Denver Nuggets,West,Northwest
473422,2021-10-21,2021,False,10,13,115,113,1,Golden State Warriors,West,Pacific,LA Clippers,West,Pacific
473423,2021-10-21,2021,False,16,17,137,95,1,Miami Heat,East,Southeast,Milwaukee Bucks,East,Central
473424,2021-10-21,2021,False,1,7,113,87,1,Atlanta Hawks,East,Southeast,Dallas Mavericks,West,Southwest
473425,2021-10-22,2021,False,23,3,109,114,0,Philadelphia 76ers,East,Atlantic,Brooklyn Nets,East,Atlantic
473426,2021-10-22,2021,False,30,12,135,134,1,Washington Wizards,East,Southeast,Indiana Pacers,East,Central
473427,2021-10-22,2021,False,2,28,83,115,0,Boston Celtics,East,Atlantic,Toronto Raptors,East,Atlantic
473428,2021-10-22,2021,False,6,4,112,123,0,Cleveland Cavaliers,East,Central,Charlotte Hornets,East,Southeast
473429,2021-10-22,2021,False,11,21,124,91,1,Houston Rockets,West,Southwest,Oklahoma City Thunder,West,Northwest
473430,2021-10-22,2021,False,8,27,102,96,1,Denver Nuggets,West,Northwest,San Antonio Spurs,West,Southwest
473431,2021-10-22,2021,False,22,20,96,121,0,Orlando Magic,East,Southeast,New York Knicks,East,Atlantic
473432,2021-10-22,2021,False,14,24,105,115,0,Los Angeles Lakers,West,Pacific,Phoenix Suns,West,Pacific
473433,2021-10-22,2021,False,5,19,128,112,1,Chicago Bulls,East,Central,New Orleans Pelicans,West,Southwest
473434,2021-10-22,2021,False,26,29,101,110,0,Sacramento Kings,West,Pacific,Utah Jazz,West,Northwest
473435,2021-10-23,2021,False,13,15,114,120,0,LA Clippers,West,Pacific,Memphis Grizzlies,West,Southwest
473436,2021-10-23,2021,False,12,16,102,91,1,Indiana Pacers,East,Central,Miami Heat,East,Southeast
473437,2021-10-23,2021,False,18,19,96,89,1,Minnesota Timberwolves,West,Northwest,New Orleans Pelicans,West,Southwest
473438,2021-10-23,2021,False,5,9,97,82,1,Chicago Bulls,East,Central,Detroit Pistons,East,Central
473439,2021-10-23,2021,False,6,1,101,95,1,Cleveland Cavaliers,East,Central,Atlanta Hawks,East,Southeast
473440,2021-10-23,2021,False,28,7,95,103,0,Toronto Raptors,East,Atlantic,Dallas Mavericks,West,Southwest
473441,2021-10-23,2021,False,25,24,134,105,1,Portland Trail Blazers,West,Northwest,Phoenix Suns,West,Pacific
473442,2021-10-23,2021,False,27,17,111,121,0,San Antonio Spurs,West,Southwest,Milwaukee Bucks,East,Central
473443,2021-10-24,2021,False,11,2,97,107,0,Houston Rockets,West,Southwest,Boston Celtics,East,Atlantic
473444,2021-10-24,2021,False,20,22,104,110,0,New York Knicks,East,Atlantic,Orlando Magic,East,Southeast
473445,2021-10-24,2021,False,21,23,103,115,0,Oklahoma City Thunder,West,Northwest,Philadelphia 76ers,East,Atlantic
473446,2021-10-24,2021,False,14,15,121,118,1,Los Angeles Lakers,West,Pacific,Memphis Grizzlies,West,Southwest
473447,2021-10-24,2021,False,26,10,107,119,0,Sacramento Kings,West,Pacific,Golden State Warriors,West,Pacific
473448,2021-10-24,2021,False,3,4,95,111,0,Brooklyn Nets,East,Atlantic,Charlotte Hornets,East,Southeast
473449,2021-10-25,2021,False,18,19,98,107,0,Minnesota Timberwolves,West,Northwest,New Orleans Pelicans,West,Southwest
473450,2021-10-25,2021,False,28,5,108,111,0,Toronto Raptors,East,Atlantic,Chicago Bulls,East,Central
473451,2021-10-25,2021,False,16,22,107,90,1,Miami Heat,East,Southeast,Orlando Magic,East,Southeast
